Bank,Financial Year,Metric,Value
HDFC Bnak,FY 2024-25,Disbursement,₹850 crore
HDFC Bnak,FY 2024-25,Gross Advances,"₹2,714,714.9 crore"
HDFC Bnak,FY 2024-25,Deposits,"₹2,714,714.9 crore"
HDFC Bnak,FY 2024-25,CASA %,34.8%
HDFC Bnak,FY 2024-25,NIM %,40%
HDFC Bnak,FY 2024-25,CTI %,Not Found
HDFC Bnak,FY 2024-25,Pre-Pop,Not Found
HDFC Bnak,FY 2024-25,PAT,"₹2,619,609 crore"
HDFC Bnak,FY 2024-25,ROA %,8.1%
HDFC Bnak,FY 2024-25,ROE %,27%
HDFC Bnak,FY 2024-25,GNPA %,1.33%
HDFC Bnak,FY 2024-25,NNPA %,0.43%
HDFC Bnak,FY 2024-25,PCR %,5%
HDFC Bnak,FY 2024-25,Customers,"97,000,000"
HDFC Bnak,FY 2024-25,Branches,"9,455"
HDFC Bnak,FY 2024-25,Employees,"214,521"
