Bank,Financial Year,Metric,Value
HDFC,FY2024-25,Disbursement,₹850 crore
HDFC,FY2024-25,Deposits,"₹2,714,715 crore"
HDFC,FY2024-25,CASA %,34.8%
HDFC,FY2024-25,NIM %,3.48%
HDFC,FY2024-25,CTI %,40.5%
HDFC,FY2024-25,Pre-Pop,Not Found
HDFC,FY2024-25,PAT,"₹67,347.4 crore"
HDFC,FY2024-25,ROA %,1.91%
HDFC,FY2024-25,ROE %,27%
HDFC,FY2024-25,GNPA %,1.33%
HDFC,FY2024-25,NNPA %,0.43%
HDFC,FY2024-25,PCR %,5%
HDFC,FY2024-25,Customers,"97,000,000"
HDFC,FY2024-25,Branches,"9,455"
HDFC,FY2024-25,Employees,"214,521"
